"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KIF2C",0.203356671621393,2.77231892785348,4.01244851346365,0.000208047126396081,0.00557269088560931,0.51195988313442
"CLEC5A",-0.192613695039309,3.03634802558954,-3.95450623468403,0.000249908489577257,0.00646315059251527,0.341981919495113
"ZEB1",0.0688018538769275,3.45807743538607,3.93027305531467,0.000269735474503742,0.00674338686259355,0.271251242311911
"BRIP1",0.166918196991146,2.77108498144892,3.81976793119487,0.000381100618049178,0.00922017624312528,-0.0485083022106734
"SLC11A1",-0.169585391810575,3.26009305381345,-3.77062749065459,0.000443805396697296,0.0103467030058138,-0.189191468009363
"UBE2C",0.233012458683276,2.8449810149874,3.76238282755931,0.000455254932255808,0.0103467030058138,-0.212701247805426
"CD300A",-0.112691228460303,3.16298120186217,-3.74022872726264,0.000487445671346024,0.0107524780443976,-0.275738852009647
"CDK2",0.080375430964823,3.25643554035104,3.71648669038144,0.00052436991551637,0.0109252668689847,-0.343074172798874
"S100A9",-0.17596102833626,3.36973270242206,-3.71646005566391,0.000524412809711263,0.0109252668689847,-0.343149582973356
"APH1B",-0.076531190771191,3.1000366967232,-3.65825883661877,0.000626649612416666,0.0127023570084459,-0.507232572893581
"IL1R2",-0.247520532983875,2.77028674277493,-3.61842803702292,0.000707358245757756,0.0138432349388044,-0.618704965003399
"HEY1",0.117926350604785,3.41864999096512,3.61265679057493,0.000719848216817828,0.0138432349388044,-0.634800462181815
"BLM",0.110242737360448,2.97873711161843,3.58290125584058,0.00078766851618039,0.0147687846783823,-0.717557629964419
"MARCO",-0.286064470939699,3.00418543068154,-3.57210701751283,0.00081375031611233,0.0148856765142499,-0.747483701239084
"CDH11",0.0907775135210134,3.45276067384066,3.55887395608772,0.000846852987281275,0.0151223747728799,-0.784101419268343
"BATF3",0.103947176119001,2.95631543868921,3.54442089613283,0.000884477512002261,0.0154269333488766,-0.824006706662374
"ITGB3",-0.133905083703394,2.94602812839242,-3.48341529615905,0.00106162260458297,0.0177037694963219,-0.991414641239842
"EXO1",0.161422768388555,2.77131204364987,3.48322456756384,0.00106222616977931,0.0177037694963219,-0.991935385096777
"IGF2R",-0.0545875463993646,3.29774184854359,-3.45594096976591,0.00115202016519617,0.0187064378014015,-1.06625548037995
"CXCL8",-0.286383597289669,3.20467018485055,-3.45006890335863,0.00117227010222116,0.0187064378014015,-1.08220601022517
"SOX11",0.21074616652002,2.98726406590547,3.42088756544046,0.00127803328208655,0.0195949986285659,-1.16123441542508
"ICOSLG",-0.112823103149452,3.28878568860195,-3.41938885984648,0.00128370327454981,0.0195949986285659,-1.16528242665577
"SREBF1",-0.0837246013572375,3.55804023172237,-3.41346933102515,0.00130633324190439,0.0195949986285659,-1.18126077370701
"IRF2",-0.0461214973947572,3.23449452120724,-3.40529996165108,0.00133818824379759,0.0196792388793763,-1.20328488859191
"CDKN1C",-0.122257706581134,3.25716431831981,-3.39502308743156,0.00137931107814413,0.0197730379624774,-1.23094585126225
"CEBPB",-0.0852572630648258,3.47788958330854,-3.38013024740452,0.00144104229228285,0.0197730379624774,-1.27094189748774
